auth_id,member_id,authorized_caller_name,relationship,auth_on_file,expiration_date,auth_expired,date_added
ROI00001,MBR00001,Daniel Barrett,Sibling,True,2027-06-23,False,2024-04-10
ROI00002,MBR00002,Marcus Williams,Parent,True,2026-12-15,False,2023-03-30
ROI00003,MBR00002,Jennifer Saunders,Power of Attorney,True,2024-11-15,True,2023-11-22
ROI00004,MBR00002,Dr. Micheal Moody DVM,Spouse,True,2027-01-30,False,2024-10-08
ROI00005,MBR00003,,,False,,False,
ROI00006,MBR00004,,,False,,False,
ROI00007,MBR00005,,,False,,False,
ROI00008,MBR00006,,,False,,False,
ROI00009,MBR00007,Darlene Davis,Sibling,True,2027-08-22,False,2025-04-25
ROI00010,MBR00007,Mark Price,Parent,True,2027-04-24,False,2020-10-02
ROI00011,MBR00008,Patricia Anderson,Legal Guardian,True,2026-08-29,False,2021-02-13
ROI00012,MBR00009,,,False,,False,
ROI00013,MBR00010,Philip Watts,Power of Attorney,True,2027-02-22,False,2024-05-09
ROI00014,MBR00010,Mary Jones,Spouse,True,2026-01-04,True,2021-03-19
ROI00015,MBR00010,Thomas Cole,Sibling,True,2027-10-08,False,2025-05-24
ROI00016,MBR00011,Natalie Gordon,Spouse,True,2026-10-18,False,2021-12-09
ROI00017,MBR00011,Alexis Smith,Parent,True,2028-01-22,False,2024-12-23
ROI00018,MBR00011,Becky Young,Parent,True,2026-06-23,False,2025-01-01
ROI00019,MBR00012,,,False,,False,
ROI00020,MBR00013,David Miller,Sibling,True,2026-11-25,False,2020-11-07
ROI00021,MBR00013,Jonathan Harris,Child,True,2026-11-07,False,2020-08-07
ROI00022,MBR00014,,,False,,False,
ROI00023,MBR00015,,,False,,False,
ROI00024,MBR00016,Martin Young,Parent,True,2027-05-26,False,2024-04-29
ROI00025,MBR00016,Virginia Wallace,Parent,True,2026-02-08,True,2021-11-22
ROI00026,MBR00017,Brandy Stewart,Child,True,2027-11-18,False,2021-05-20
ROI00027,MBR00017,Amanda Conner,Child,True,2028-04-27,False,2025-08-24
ROI00028,MBR00018,Robert Christensen,Parent,True,2027-06-15,False,2020-07-12
ROI00029,MBR00018,Nicholas Cooper,Sibling,True,2026-07-12,False,2022-11-08
ROI00030,MBR00019,Anthony Hardin,Parent,True,2027-03-29,False,2021-08-19
ROI00031,MBR00019,Rebecca Horton MD,Spouse,True,2026-12-28,False,2021-04-01
ROI00032,MBR00020,,,False,,False,
ROI00033,MBR00021,,,False,,False,
ROI00034,MBR00022,Kelly White,Power of Attorney,True,2027-03-29,False,2025-07-05
ROI00035,MBR00022,Amy Vasquez,Legal Guardian,True,2028-05-08,False,2020-12-13
ROI00036,MBR00023,Amy Braun,Parent,True,2027-01-07,False,2021-11-12
ROI00037,MBR00023,Beth Thompson,Child,True,2027-10-24,False,2026-03-23
ROI00038,MBR00024,Rebecca Harris,Sibling,True,2026-11-30,False,2023-12-19
ROI00039,MBR00024,Jessica Mcdonald,Spouse,True,2026-06-22,False,2020-10-02
ROI00040,MBR00024,Craig Coleman,Child,True,2028-02-21,False,2020-06-19
ROI00041,MBR00025,,,False,,False,
ROI00042,MBR00026,Elizabeth Ray,Child,True,2026-07-13,False,2023-08-24
ROI00043,MBR00027,Christina Huffman,Child,True,2026-11-05,False,2023-09-17
ROI00044,MBR00027,Dr. Ian Gray,Spouse,True,2027-01-31,False,2020-05-26
ROI00045,MBR00027,Jay Lynch,Legal Guardian,True,2028-05-26,False,2021-03-01
ROI00046,MBR00028,Christopher Mckay,Power of Attorney,True,2027-07-20,False,2023-03-19
ROI00047,MBR00028,Dr. Jeffery Miller,Sibling,True,2027-11-18,False,2023-11-15
ROI00048,MBR00028,Elizabeth Medina,Parent,True,2026-12-03,False,2024-01-12
ROI00049,MBR00029,,,False,,False,
ROI00050,MBR00030,Casey James,Parent,True,2027-01-11,False,2020-09-27
ROI00051,MBR00030,Douglas Hart,Child,True,2027-10-09,False,2025-01-18
ROI00052,MBR00030,Mr. Miguel Gonzalez,Spouse,True,2028-05-31,False,2020-03-04
ROI00053,MBR00031,April Hensley,Legal Guardian,True,2028-04-25,False,2021-05-20
ROI00054,MBR00031,Jacqueline Sullivan,Power of Attorney,True,2026-11-07,False,2025-09-30
ROI00055,MBR00031,James Harmon,Power of Attorney,True,2028-04-16,False,2024-04-30
ROI00056,MBR00032,Eric Archer,Power of Attorney,True,2028-01-24,False,2025-12-01
ROI00057,MBR00032,Stephen Riddle,Legal Guardian,True,2027-11-18,False,2020-09-06
ROI00058,MBR00032,Timothy Martin,Parent,True,2027-04-19,False,2025-05-25
ROI00059,MBR00033,Tina Wise,Legal Guardian,True,2025-07-09,True,2021-07-17
ROI00060,MBR00034,,,False,,False,
ROI00061,MBR00035,,,False,,False,
ROI00062,MBR00036,Hannah Fletcher,Sibling,True,2028-02-12,False,2022-10-31
ROI00063,MBR00036,Isabel Brown,Child,True,2026-12-06,False,2026-03-30
ROI00064,MBR00036,Jeff Wright,Sibling,True,2028-04-04,False,2021-10-28
ROI00065,MBR00037,Thomas Ward,Child,True,2028-01-12,False,2021-04-06
ROI00066,MBR00038,Alyssa Wade,Sibling,True,2027-12-24,False,2021-10-05
ROI00067,MBR00038,Larry Blackburn,Child,True,2028-01-11,False,2025-10-18
ROI00068,MBR00038,David Lane,Legal Guardian,True,2027-11-19,False,2026-03-31
ROI00069,MBR00039,Candice Wilson,Spouse,True,2023-08-28,True,2022-01-28
ROI00070,MBR00040,,,False,,False,
ROI00071,MBR00041,Michael Cruz,Sibling,True,2026-08-13,False,2025-03-04
ROI00072,MBR00042,Valerie Miller,Power of Attorney,True,2026-07-26,False,2026-04-05
ROI00073,MBR00043,Sherri Martin,Spouse,True,2027-10-15,False,2020-02-15
ROI00074,MBR00043,Michael Mason,Child,True,2024-08-28,True,2024-03-06
ROI00075,MBR00043,Stacie Willis,Parent,True,2027-07-07,False,2020-09-09
ROI00076,MBR00044,Nicole Glass,Parent,True,2027-12-28,False,2022-09-26
ROI00077,MBR00045,Ashley Armstrong,Spouse,True,2028-02-03,False,2025-05-30
ROI00078,MBR00046,,,False,,False,
ROI00079,MBR00047,Robin Adams,Parent,True,2024-10-06,True,2024-07-31
ROI00080,MBR00047,Paul Hale,Legal Guardian,True,2028-02-02,False,2021-02-04
ROI00081,MBR00047,Christopher Vasquez,Sibling,True,2023-02-04,True,2024-07-13
ROI00082,MBR00048,Raymond Butler,Parent,True,2027-06-23,False,2023-09-11
ROI00083,MBR00049,Dylan Jordan,Spouse,True,2027-07-03,False,2023-09-19
ROI00084,MBR00049,Cody Taylor,Spouse,True,2026-06-30,False,2024-11-20
ROI00085,MBR00049,Mr. Brian Bradley,Legal Guardian,True,2027-08-27,False,2024-05-16
ROI00086,MBR00050,Curtis Brady,Parent,True,2025-03-15,True,2023-05-10
ROI00087,MBR00051,Cheryl Bird,Child,True,2026-09-10,False,2023-03-01
ROI00088,MBR00051,Jessica Durham,Power of Attorney,True,2026-06-11,False,2023-08-19
ROI00089,MBR00051,Mark Miller,Power of Attorney,True,2026-09-20,False,2023-01-06
ROI00090,MBR00052,Caleb Brown,Spouse,True,2026-07-22,False,2024-02-13
ROI00091,MBR00052,David Washington,Sibling,True,2028-01-06,False,2024-09-15
ROI00092,MBR00053,Alexandra Adams,Legal Guardian,True,2025-12-30,True,2026-05-13
ROI00093,MBR00053,Mary Mccormick,Child,True,2028-01-09,False,2024-05-09
ROI00094,MBR00054,Daniel Conner,Sibling,True,2027-12-02,False,2026-04-04
ROI00095,MBR00055,Joseph Hayden,Legal Guardian,True,2025-12-19,True,2025-06-10
ROI00096,MBR00055,John Sherman,Parent,True,2023-03-04,True,2024-10-22
ROI00097,MBR00055,Gabrielle Maldonado,Spouse,True,2026-12-11,False,2026-05-21
ROI00098,MBR00056,Ethan Allen,Child,True,2026-07-03,False,2021-06-02
ROI00099,MBR00056,James Bishop,Child,True,2026-07-02,False,2024-11-02
ROI00100,MBR00057,Shelley Drake,Legal Guardian,True,2027-09-18,False,2025-11-08
ROI00101,MBR00057,Seth Morales,Child,True,2028-01-22,False,2024-04-06
ROI00102,MBR00058,,,False,,False,
ROI00103,MBR00059,Tammy Johnson,Power of Attorney,True,2026-06-15,False,2024-02-18
ROI00104,MBR00059,Joseph Tapia,Sibling,True,2026-10-30,False,2024-01-19
ROI00105,MBR00059,Danielle Hayes,Spouse,True,2027-05-19,False,2025-03-01
ROI00106,MBR00060,Sheila Robertson,Sibling,True,2023-10-10,True,2023-04-30
ROI00107,MBR00060,April Little,Spouse,True,2027-07-09,False,2021-01-30
ROI00108,MBR00061,Erica Schultz,Power of Attorney,True,2023-07-08,True,2024-07-07
ROI00109,MBR00061,Tracy Fitzgerald,Child,True,2026-10-29,False,2021-10-28
ROI00110,MBR00061,Cynthia Washington,Sibling,True,2026-11-01,False,2023-10-01
ROI00111,MBR00062,Rebecca Bailey,Legal Guardian,True,2024-06-25,True,2024-02-09
ROI00112,MBR00063,,,False,,False,
ROI00113,MBR00064,,,False,,False,
ROI00114,MBR00065,Teresa Alvarez,Sibling,True,2028-05-07,False,2020-07-04
ROI00115,MBR00065,Melissa Garcia,Power of Attorney,True,2027-05-02,False,2021-06-01
ROI00116,MBR00066,,,False,,False,
ROI00117,MBR00067,Lawrence Joseph,Spouse,True,2027-06-20,False,2020-03-14
ROI00118,MBR00068,Sherri Glover,Child,True,2026-08-13,False,2023-11-02
ROI00119,MBR00069,Amanda Jimenez,Child,True,2027-09-23,False,2023-02-14
ROI00120,MBR00070,Ronnie Davies,Power of Attorney,True,2026-12-08,False,2023-09-05
ROI00121,MBR00070,Mrs. Stephanie Friedman,Sibling,True,2023-07-02,True,2025-10-31
ROI00122,MBR00071,Mr. David Jackson,Parent,True,2026-12-14,False,2025-01-27
ROI00123,MBR00071,Melissa Garcia,Spouse,True,2025-05-09,True,2024-05-14
ROI00124,MBR00071,Alyssa Hickman MD,Parent,True,2027-12-17,False,2020-01-26
ROI00125,MBR00072,Douglas Ball,Legal Guardian,True,2027-06-04,False,2020-08-29
ROI00126,MBR00073,,,False,,False,
ROI00127,MBR00074,Tiffany Lambert,Sibling,True,2028-02-25,False,2021-03-23
ROI00128,MBR00075,Tammy Schultz,Sibling,True,2026-09-06,False,2020-11-27
ROI00129,MBR00075,Robert Cook II,Child,True,2026-07-24,False,2024-12-09
ROI00130,MBR00075,Tammy Brown,Child,True,2026-08-03,False,2022-03-28
ROI00131,MBR00076,,,False,,False,
ROI00132,MBR00077,Thomas Paul,Spouse,True,2028-02-07,False,2020-01-19
ROI00133,MBR00077,Martha Glover,Legal Guardian,True,2027-10-18,False,2020-12-20
ROI00134,MBR00078,Jessica Hall,Parent,True,2027-04-25,False,2023-04-15
ROI00135,MBR00078,Earl Rodriguez,Child,True,2027-01-28,False,2026-05-13
ROI00136,MBR00078,Kevin Lopez,Power of Attorney,True,2027-11-26,False,2026-03-24
